The program is using data type: float.
Dimension: 2.
Reading basic information about the lattice: Dimension DIM, Length L and primitive lattice vectors LattVectors
Reading the energy scale, number of orbitals NOrbitals and their positions OrbPositions
Reading data type and checking whether it is complex.
Filling the MU matrix.
i:0
dos is required? 1
cond_dc is required? 0
Filling the Gamma matrix.
Filling the Lambda matrix.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
0.1 -3.99946 -0.215323 -3.95172 0.652637 1.28199 -0.0705096
0.114573 -2.95233 -0.206991 -2.91892 0.488837 1.11974 -0.0537522
0.129146 -2.24914 -0.200472 -2.22395 0.39097 0.993871 -0.0423265
0.143719 -1.7542 -0.19201 -1.7344 0.325516 0.893405 -0.0341899
0.158291 -1.39125 -0.187937 -1.37485 0.284048 0.811364 -0.0281917
0.172864 -1.11968 -0.184775 -1.10567 0.255579 0.743109 -0.0236434
0.187437 -0.911977 -0.185522 -0.89953 0.238677 0.685437 -0.0201129
0.20201 -0.75187 -0.185237 -0.740677 0.225873 0.636066 -0.0173178
0.216583 -0.624371 -0.184423 -0.614206 0.215876 0.593325 -0.0150672
0.231156 -0.52108 -0.183826 -0.511748 0.2084 0.555964 -0.0132283
0.245729 -0.438611 -0.184382 -0.429922 0.203822 0.523027 -0.0117066
0.260302 -0.368255 -0.182625 -0.360212 0.198017 0.493772 -0.0104331
0.274874 -0.310609 -0.184027 -0.302999 0.196304 0.467616 -0.00935659
0.289447 -0.261024 -0.183519 -0.253864 0.193302 0.44409 -0.00843848
0.30402 -0.219028 -0.187485 -0.212103 0.195284 0.422817 -0.00764915
0.318593 -0.186991 -0.188814 -0.180363 0.195156 0.403489 -0.00696559
0.333166 -0.1571 -0.188126 -0.150805 0.193209 0.38585 -0.00636972
0.347739 -0.128651 -0.188777 -0.122617 0.192751 0.369688 -0.00584716
0.362312 -0.105126 -0.19365 -0.0991995 0.196752 0.354826 -0.00538636
0.376884 -0.0865808 -0.196808 -0.080801 0.19925 0.341112 -0.00497795
0.391457 -0.0700494 -0.199996 -0.064403 0.201885 0.328418 -0.00461429
0.40603 -0.0556232 -0.202669 -0.0501132 0.204101 0.316635 -0.00428907
0.420603 -0.0411623 -0.206516 -0.0357482 0.207522 0.305668 -0.00399706
0.435176 -0.0309996 -0.212308 -0.025624 0.213024 0.295436 -0.00373388
0.449749 -0.0222227 -0.214884 -0.0169612 0.215363 0.285866 -0.00349587
0.464322 -0.0115739 -0.22047 -0.00634832 0.220683 0.276896 -0.0032799
0.478894 -0.00532863 -0.226168 -0.000132934 0.22623 0.268473 -0.00308335
0.493467 0.00253608 -0.231422 0.00769348 0.231308 0.260546 -0.00290395
0.50804 0.00903132 -0.240559 0.0142371 0.240307 0.253074 -0.00273976
0.522613 0.0125197 -0.24832 0.0177431 0.248002 0.246019 -0.00258911
0.537186 0.0157894 -0.257559 0.0210596 0.257182 0.239346 -0.00245056
0.551759 0.0189968 -0.266627 0.024308 0.266195 0.233026 -0.00232283
0.566332 0.0233571 -0.279094 0.028773 0.278587 0.227031 -0.00220484
0.580905 0.0239914 -0.294495 0.0295632 0.293988 0.221337 -0.00209561
0.595477 0.0272217 -0.313468 0.0330072 0.312912 0.215921 -0.00199431
0.61005 0.026149 -0.340597 0.0322856 0.340071 0.210764 -0.00190017
0.624623 0.0234559 -0.380591 0.0301542 0.380119 0.205847 -0.00181255
0.639196 -0.000968799 -0.453157 0.00682921 0.453107 0.201155 -0.00173085
0.653769 -0.137273 -0.5254 -0.128414 0.527635 0.196672 -0.00165455
0.668342 -0.260716 -0.421357 -0.253746 0.42559 0.192384 -0.00158319
0.682915 -0.272616 -0.336612 -0.267159 0.340959 0.188279 -0.00151635
0.697487 -0.268364 -0.281771 -0.263887 0.285968 0.184346 -0.00145365
0.71206 -0.260424 -0.244944 -0.256609 0.248937 0.180574 -0.00139476
0.726633 -0.252792 -0.214786 -0.249512 0.218588 0.176953 -0.00133938
0.741206 -0.242528 -0.189479 -0.239689 0.193057 0.173474 -0.00128724
0.755779 -0.232598 -0.170362 -0.230093 0.173729 0.170129 -0.00123808
0.770352 -0.223083 -0.154791 -0.22085 0.15796 0.166911 -0.00119168
0.784925 -0.215277 -0.141361 -0.213275 0.144364 0.163813 -0.00114784
0.799497 -0.208327 -0.129336 -0.206527 0.13219 0.160827 -0.00110638
0.81407 -0.200519 -0.11746 -0.198914 0.120158 0.157948 -0.00106713
0.828643 -0.192261 -0.109163 -0.190795 0.111705 0.155171 -0.00102992
0.843216 -0.187975 -0.101491 -0.186635 0.103934 0.152489 -0.000994635
0.857789 -0.181784 -0.0916925 -0.180593 0.094016 0.149899 -0.000961128
0.872362 -0.17479 -0.084676 -0.173708 0.0868732 0.147395 -0.000929286
0.886935 -0.169161 -0.0781604 -0.168178 0.0802523 0.144974 -0.000899
0.901508 -0.162894 -0.0719042 -0.162005 0.0738864 0.14263 -0.000870172
0.91608 -0.157294 -0.0668857 -0.156479 0.0687696 0.140361 -0.000842708
0.930653 -0.15187 -0.0619672 -0.151127 0.0637578 0.138164 -0.000816524
0.945226 -0.146468 -0.0582777 -0.145779 0.0599782 0.136034 -0.000791541
0.959799 -0.14236 -0.0543956 -0.141727 0.0560236 0.133968 -0.000767688
0.974372 -0.138066 -0.0505898 -0.137487 0.0521452 0.131965 -0.000744898
0.988945 -0.133627 -0.0466775 -0.133099 0.0481609 0.13002 -0.000723107
1.00352 -0.129109 -0.0435939 -0.128623 0.0450065 0.128132 -0.000702258
1.01809 -0.124999 -0.0411686 -0.124547 0.0425167 0.126298 -0.000682298
1.03266 -0.121606 -0.0383498 -0.12119 0.039643 0.124516 -0.000663178
1.04724 -0.117854 -0.0357506 -0.117472 0.0369866 0.122784 -0.00064485
1.06181 -0.114331 -0.0336508 -0.113976 0.0348334 0.121099 -0.000627271
1.07638 -0.111338 -0.0312625 -0.111013 0.0323986 0.119459 -0.000610402
1.09095 -0.107985 -0.02897 -0.107687 0.0300573 0.117864 -0.000594204
1.10553 -0.104362 -0.0269385 -0.104089 0.0279755 0.11631 -0.000578642
1.1201 -0.101499 -0.0255954 -0.101243 0.026591 0.114797 -0.000563684
1.13467 -0.0984516 -0.0240226 -0.0982141 0.0249759 0.113322 -0.000549298
1.14925 -0.0960993 -0.0226898 -0.0958777 0.0236085 0.111886 -0.000535456
1.16382 -0.0935737 -0.0208824 -0.0933722 0.0217659 0.110485 -0.000522131
1.17839 -0.0907687 -0.019511 -0.0905826 0.0203574 0.109118 -0.000509297
1.19296 -0.0883173 -0.0182566 -0.0881452 0.0190701 0.107785 -0.00049693
1.20754 -0.0858889 -0.0169773 -0.0857307 0.017759 0.106485 -0.000485009
1.22211 -0.0834763 -0.0159437 -0.0833294 0.0166944 0.105215 -0.000473511
1.23668 -0.0812277 -0.0149886 -0.0810912 0.0157105 0.103975 -0.000462417
1.25126 -0.079249 -0.0139747 -0.079123 0.0146708 0.102764 -0.000451709
1.26583 -0.0770715 -0.0130233 -0.0769554 0.0136926 0.101581 -0.000441369
1.2804 -0.0751465 -0.0121447 -0.0750393 0.0127898 0.100425 -0.000431379
1.29497 -0.0730719 -0.0112761 -0.0729735 0.0118964 0.0992951 -0.000421725
1.30955 -0.0712015 -0.0105901 -0.07111 0.0111878 0.0981902 -0.000412391
1.32412 -0.0693299 -0.0098394 -0.0692458 0.010415 0.0971096 -0.000403364
1.33869 -0.0675961 -0.00925339 -0.0675178 0.0098085 0.0960525 -0.00039463
1.35327 -0.0659047 -0.00866953 -0.0658321 0.00920494 0.0950182 -0.000386177
1.36784 -0.0643569 -0.00813505 -0.0642894 0.00865233 0.0940059 -0.000377992
1.38241 -0.0628443 -0.00745053 -0.062783 0.00795034 0.093015 -0.000370065
1.39698 -0.0612257 -0.00686095 -0.0611698 0.00734282 0.0920447 -0.000362385
1.41156 -0.0596564 -0.00642479 -0.0596046 0.00688948 0.0910944 -0.000354941
1.42613 -0.0582731 -0.00604784 -0.0582247 0.00649712 0.0901636 -0.000347724
1.4407 -0.0569528 -0.00550721 -0.0569091 0.00594189 0.0892516 -0.000340725
1.45528 -0.055491 -0.00507721 -0.0554511 0.00549649 0.0883579 -0.000333936
1.46985 -0.0542045 -0.00474092 -0.0541675 0.00514644 0.0874819 -0.000327347
1.48442 -0.0529331 -0.00435723 -0.0528994 0.00474936 0.0866231 -0.000320951
1.49899 -0.0516763 -0.00403604 -0.0516453 0.00441514 0.085781 -0.000314741
1.51357 -0.0505241 -0.00370917 -0.0504958 0.00407626 0.0849551 -0.00030871
1.52814 -0.0493374 -0.00339043 -0.0493118 0.00374549 0.084145 -0.00030285
1.54271 -0.0481926 -0.00308082 -0.0481694 0.00342436 0.0833501 -0.000297155
1.55729 -0.047067 -0.00285161 -0.0470457 0.003184 0.0825702 -0.00029162
1.57186 -0.0460228 -0.00261378 -0.0460034 0.00293578 0.0818047 -0.000286238
1.58643 -0.0450086 -0.00239195 -0.0449909 0.00270397 0.0810532 -0.000281003
